Table 3.  Fitting coefficients for the spin-forbidden excitation 
collision strengths (Eq. (4)).
_______________________________________________________________

 i    f      A_1        A_2        A_3         A_4       A_5
31S  43F  1.601e+00  1.311e+03  5.193e+02 -1.588e+03  4.897e+02
31S  43P  1.878e+00  7.168e+02  1.402e+03  6.210e+01  1.290e+03
31S  43S  1.395e+00  1.370e+04 -3.392e+04  7.064e+04  2.137e+04
41D  43F  8.165e+07 -4.651e+08  9.297e+08 -5.415e+08  7.004e+06
41S  43D  9.651e+02  3.404e+07 -1.015e+08  7.969e+07  1.764e+06
41S  43F  2.102e+02  8.995e+05 -2.902e+06  2.495e+06  3.244e+04
41S  43P  2.968e+03  1.709e+08 -4.113e+08  3.782e+08  4.486e+06
23P  21P  7.477e+03 -7.356e+01 -1.484e+04  9.359e+03  1.364e+03
23P  31D  1.248e+01  8.429e+02 -7.194e+02  1.665e+02  2.114e+02
23P  31P  1.010e+01  3.349e+03  1.034e+04 -1.269e+04  3.023e+03
23P  31S  3.068e+00  1.914e+02  1.311e+03 -1.191e+03  5.774e+02
23P  41D  3.009e+00  1.194e+02 -1.716e+02  9.982e+01  9.528e+01
23P  41F  5.663e-01  1.780e+01 -3.464e+01  1.990e+01  1.573e+01
23P  41P  2.226e+00  4.009e+02  3.283e+03 -3.644e+03  1.904e+03
23P  41S  5.902e-01  1.755e+01  1.286e+01  1.786e+01  1.158e+02
23S  21P  4.893e+01  4.251e+03 -4.330e+03  1.934e+02  8.928e+02
23S  21S  5.475e+01  3.483e+05  2.345e+05 -5.090e+05  5.424e+04
23S  31D  1.854e+00  3.979e+01  4.699e+00 -2.647e+01  8.091e+01
23S  31P  1.383e+00  5.353e+01  3.937e+02 -4.378e+02  4.331e+02
23S  31S  6.561e-01  5.721e+02  2.975e+03 -1.773e+03  5.210e+03
23S  41D  5.492e-01  8.462e+00 -1.079e+01  5.007e+00  3.464e+01
23S  41F  8.208e-02 -1.311e+01  1.155e+03 -1.001e+03  5.398e+03
23S  41P  3.412e-01  9.770e+00  2.173e+02 -2.240e+02  5.031e+02
23S  41S  1.694e-01  7.331e+01  8.903e+01  1.828e+02  2.183e+03
33D  31D  1.136e+09  2.017e+12 -1.201e+15  1.669e+17  1.343e+08
33D  31P  1.102e+05 -5.174e+05  8.277e+05 -4.200e+05  1.461e+04
33D  41D  4.723e+01  1.223e+05  2.166e+05 -2.717e+05  1.935e+04
33D  41F  6.305e+01  2.582e+04 -1.481e+04 -5.014e+03  1.496e+03
33D  41P  0.000e+00  2.958e+03  6.343e+03 -9.301e+03  9.406e+02
33D  41S  6.079e-01  9.783e+02  1.616e+03 -1.574e+03  8.714e+02
33P  31D  6.039e+03  4.209e+07 -1.969e+08  2.637e+08  2.223e+05
33P  31P  6.013e+03 -1.055e+04  1.091e+04 -6.078e+03  8.163e+02
33P  41D  7.376e+00  2.988e+03  8.028e+03 -7.799e+03  1.065e+03
33P  41F  6.272e+01  6.842e+03  1.574e+03 -5.607e+03  1.122e+03
33P  41P  2.776e+01 -8.087e+01  3.210e+02 -2.668e+02  2.334e+01
33P  41S  3.483e+00  1.338e+03  5.297e+03 -2.062e+03  2.147e+03
33S  31D  1.545e+02  4.931e+04  4.578e+04 -9.484e+04  6.629e+03
33S  31P  6.104e+01 -1.350e+02  1.268e+02 -5.257e+01  6.185e+00
33S  31S  1.731e+02  2.350e+06  5.044e+06 -7.305e+06  3.601e+05
33S  41D  3.036e+00 -2.081e+03  6.538e+05 -5.498e+05  1.362e+05
33S  41F  9.155e-01  6.187e+02  2.079e+02 -6.677e+02  3.049e+02
33S  41P  1.725e+00  4.197e+02  1.477e+03 -1.845e+03  1.186e+03
33S  41S  9.802e-01  7.696e+03 -2.354e+04  4.408e+04  1.801e+04
43D  41D  7.367e+08 -2.854e+09  5.369e+09 -3.233e+09  6.737e+07
43D  41F  5.179e+07 -3.389e+08  7.078e+08 -4.136e+08  3.808e+06
43D  41P  3.467e+05 -1.223e+05 -1.174e+07  2.974e+07  7.585e+04
43F  41F  1.026e+10  3.470e+13 -2.933e+16  5.666e+18  6.300e+08
43F  41P  2.520e+05 -1.057e+06 -1.446e+06  8.086e+06  4.052e+04
43P  41D  1.466e+04  8.679e+08 -3.528e+09  4.055e+09  4.533e+06
43P  41F  1.878e+04  4.402e+07 -2.107e+08  2.660e+08  2.108e+05
43P  41P  1.482e+04 -4.752e+04  3.964e+04  3.244e+03  2.200e+03
43S  41D  2.220e+02  3.024e+06  9.322e+06 -1.234e+07  4.572e+05
43S  41F  4.678e+01  7.677e+04 -1.273e+05  6.421e+04  5.849e+03
43S  41P  1.650e+02  1.455e+06 -2.700e+06  1.284e+06  1.720e+05
43S  41S  3.429e+02  9.919e+06 -7.244e+06  3.127e+07  1.147e+06
________________________________________________________________
